SECCION,V4T,VALIAR,VMC,TOT,G25,Margen,G24,G21,PERFIL_POLITICO
4905,686,117,583,1386,4T,0.07431457431457432,4T,,NUEVO
4906,497,74,573,1144,MC,0.06643356643356643,4T,,NUEVO
633,693,86,801,1580,MC,0.06835443037974684,4T,,NUEVO
634,576,111,831,1518,MC,0.16798418972332016,4T,,NUEVO
635,358,67,479,904,MC,0.1338495575221239,4T,,NUEVO
636,318,21,352,691,MC,0.049204052098408106,4T,,NUEVO
637,240,64,251,555,MC,0.01981981981981982,4T,,NUEVO
638,590,64,524,1178,4T,0.05602716468590832,4T,,NUEVO
639,329,35,380,744,MC,0.06854838709677419,4T,,NUEVO
640,391,38,449,878,MC,0.06605922551252848,4T,,NUEVO
641,458,30,252,740,4T,0.27837837837837837,4T,,NUEVO
642,326,28,227,581,4T,0.1703958691910499,4T,,NUEVO
643,317,28,275,620,4T,0.06774193548387097,4T,,NUEVO
644,420,139,117,676,4T,0.4156804733727811,4T,,NUEVO
645,344,134,138,616,4T,0.3344155844155844,4T,,NUEVO
646,325,85,78,488,4T,0.4918032786885246,4T,,NUEVO
647,723,131,166,1020,4T,0.546078431372549,4T,,NUEVO
648,203,14,83,300,4T,0.4,4T,,NUEVO
649,255,92,138,485,4T,0.24123711340206186,4T,,NUEVO
650,363,53,221,637,4T,0.22291993720565148,4T,,NUEVO
651,345,8,293,646,4T,0.0804953560371517,4T,,NUEVO
652,338,32,383,753,MC,0.05976095617529881,4T,,NUEVO
653,694,47,121,862,4T,0.6647331786542924,4T,,NUEVO
654,665,58,124,847,4T,0.6387249114521841,4T,,NUEVO
655,540,66,252,858,4T,0.3356643356643357,4T,,NUEVO
