ID_DISTRITO_FEDERAL,DISTRITO_FEDERAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,TIPO_ACTA,MC,MORENA -ALIADOS,PAN-PRI-PRD,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL
019,SAN ANDRÉS TUXTLA,0633,01,B,00,Urbana,4,102,203,72,0,13,390,702
019,SAN ANDRÉS TUXTLA,0633,01,C,00,Urbana,4,75,206,68,0,8,357,702
019,SAN ANDRÉS TUXTLA,0633,02,C,00,Urbana,4,63,217,51,0,9,340,702
019,SAN ANDRÉS TUXTLA,0633,03,C,00,Urbana,4,72,222,72,0,13,379,701
019,SAN ANDRÉS TUXTLA,0634,01,B,00,No Urbana,4,78,219,52,0,13,362,715
019,SAN ANDRÉS TUXTLA,0634,01,C,00,No Urbana,4,52,203,51,0,13,319,715
019,SAN ANDRÉS TUXTLA,0634,02,C,00,No Urbana,4,76,190,74,0,16,356,714
019,SAN ANDRÉS TUXTLA,0634,03,C,00,No Urbana,4,50,195,67,0,5,317,714
019,SAN ANDRÉS TUXTLA,0635,01,B,00,Urbana,4,66,167,45,0,6,284,516
019,SAN ANDRÉS TUXTLA,0635,01,C,00,Urbana,4,71,187,39,0,9,306,515
019,SAN ANDRÉS TUXTLA,0635,02,C,00,Urbana,4,49,176,51,0,9,285,515
019,SAN ANDRÉS TUXTLA,0636,01,B,00,Urbana,4,77,174,84,0,8,343,596
019,SAN ANDRÉS TUXTLA,0636,01,C,00,Urbana,4,95,183,67,0,11,356,596
019,SAN ANDRÉS TUXTLA,0637,01,B,00,Urbana,4,71,139,77,0,7,294,466
019,SAN ANDRÉS TUXTLA,0637,01,C,00,Urbana,4,64,138,79,0,6,287,465
019,SAN ANDRÉS TUXTLA,0638,01,B,00,Urbana,4,69,193,64,0,10,336,666
019,SAN ANDRÉS TUXTLA,0638,01,C,00,Urbana,4,96,235,58,0,13,402,666
019,SAN ANDRÉS TUXTLA,0638,02,C,00,Urbana,4,109,206,67,0,16,398,666
019,SAN ANDRÉS TUXTLA,0639,01,B,00,Urbana,4,74,219,59,0,18,370,742
019,SAN ANDRÉS TUXTLA,0639,01,C,00,Urbana,4,75,261,43,0,14,393,741
019,SAN ANDRÉS TUXTLA,0640,01,B,00,Urbana,4,65,195,46,0,14,320,536
019,SAN ANDRÉS TUXTLA,0640,01,C,00,Urbana,4,70,155,33,0,9,267,535
019,SAN ANDRÉS TUXTLA,0640,02,C,00,Urbana,4,40,170,51,0,11,272,535
019,SAN ANDRÉS TUXTLA,0641,01,B,00,Urbana,4,111,173,67,0,12,363,575
019,SAN ANDRÉS TUXTLA,0641,01,C,00,Urbana,4,110,217,49,0,4,380,574
019,SAN ANDRÉS TUXTLA,0642,01,B,00,Urbana,4,95,128,68,0,11,302,466
019,SAN ANDRÉS TUXTLA,0642,01,C,00,Urbana,4,60,137,72,0,15,284,465
019,SAN ANDRÉS TUXTLA,0643,01,B,00,Urbana,4,70,166,75,0,6,317,507
019,SAN ANDRÉS TUXTLA,0643,01,C,00,Urbana,4,102,143,65,0,2,312,506
019,SAN ANDRÉS TUXTLA,0643,01,S,00,Urbana,4EMR,22,65,26,0,8,121,0
019,SAN ANDRÉS TUXTLA,0643,01,S,00,Urbana,4ERP,79,298,96,0,35,508,0
019,SAN ANDRÉS TUXTLA,0644,01,B,00,No Urbana,4,11,238,60,0,9,318,604
019,SAN ANDRÉS TUXTLA,0644,01,C,00,No Urbana,4,22,220,50,0,14,306,604
019,SAN ANDRÉS TUXTLA,0645,01,B,00,No Urbana,4,13,143,48,0,15,219,399
019,SAN ANDRÉS TUXTLA,0645,01,C,00,No Urbana,4,15,122,34,0,21,192,398
019,SAN ANDRÉS TUXTLA,0645,01,E,00,No Urbana,4,19,106,36,0,5,166,345
019,SAN ANDRÉS TUXTLA,0646,01,B,00,No Urbana,4,23,189,25,1,4,242,485
019,SAN ANDRÉS TUXTLA,0646,01,C,00,No Urbana,4,23,181,28,0,10,242,484
019,SAN ANDRÉS TUXTLA,0647,01,B,00,No Urbana,4,28,232,77,0,16,353,639
019,SAN ANDRÉS TUXTLA,0647,01,C,00,No Urbana,4,39,219,70,0,15,343,639
019,SAN ANDRÉS TUXTLA,0647,02,C,00,No Urbana,4,35,220,57,0,16,328,639
019,SAN ANDRÉS TUXTLA,0648,01,B,00,No Urbana,4,24,213,39,0,10,286,569
019,SAN ANDRÉS TUXTLA,0649,01,B,00,No Urbana,4,20,170,43,0,13,246,408
019,SAN ANDRÉS TUXTLA,0649,01,C,00,No Urbana,4,27,163,35,0,18,243,408
019,SAN ANDRÉS TUXTLA,0650,01,B,00,No Urbana,4,41,279,65,0,15,400,625
019,SAN ANDRÉS TUXTLA,0650,01,E,00,No Urbana,4,15,116,76,0,24,231,390
019,SAN ANDRÉS TUXTLA,0651,01,B,00,No Urbana,4,108,186,12,0,21,327,530
019,SAN ANDRÉS TUXTLA,0651,01,C,00,No Urbana,4,103,192,22,0,19,336,529
019,SAN ANDRÉS TUXTLA,0652,01,B,00,No Urbana,4,141,129,22,0,11,303,503
019,SAN ANDRÉS TUXTLA,0652,01,C,00,No Urbana,4,138,134,15,0,25,312,502
019,SAN ANDRÉS TUXTLA,0652,02,C,00,No Urbana,4,105,140,22,0,16,283,502
019,SAN ANDRÉS TUXTLA,0653,01,B,00,No Urbana,4,33,297,17,0,5,352,577
019,SAN ANDRÉS TUXTLA,0653,01,E,00,No Urbana,4,23,200,24,0,14,261,437
019,SAN ANDRÉS TUXTLA,0653,01,E,01,No Urbana,4,20,197,13,0,13,243,436
019,SAN ANDRÉS TUXTLA,0654,01,B,00,No Urbana,4,32,236,28,0,18,314,540
019,SAN ANDRÉS TUXTLA,0654,01,C,00,No Urbana,4,37,248,33,0,9,327,539
019,SAN ANDRÉS TUXTLA,0654,02,C,00,No Urbana,4,41,227,41,0,15,324,539
019,SAN ANDRÉS TUXTLA,0655,01,B,00,No Urbana,4,37,183,48,0,17,285,563
019,SAN ANDRÉS TUXTLA,0655,01,C,00,No Urbana,4,28,196,55,0,16,295,562
019,SAN ANDRÉS TUXTLA,0655,02,C,00,No Urbana,4,28,197,48,0,21,294,562
019,SAN ANDRÉS TUXTLA,4905,01,B,00,Urbana,4,69,178,45,0,15,307,637
019,SAN ANDRÉS TUXTLA,4905,01,C,00,Urbana,4,83,172,57,0,16,328,637
019,SAN ANDRÉS TUXTLA,4905,02,C,00,Urbana,4,61,203,57,0,13,334,637
019,SAN ANDRÉS TUXTLA,4905,03,C,00,Urbana,4,62,171,67,0,11,311,637
019,SAN ANDRÉS TUXTLA,4906,01,B,00,Urbana,4,69,198,45,0,11,323,742
019,SAN ANDRÉS TUXTLA,4906,01,C,00,Urbana,4,55,189,30,0,16,290,742
019,SAN ANDRÉS TUXTLA,4906,02,C,00,Urbana,4,49,210,39,0,15,313,742
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
