distrito,municipio,seccion,tipo,codigo,listaNominal,rppv,pan,pri,prd,verde,pt,mc,morena,fxm,pan-pri-prd,pan-pri,pan-prd,pri-prd,verde-pt-morena,verde-pt,verde-morena,pt-morena,boletaSobrante,boetasExtraidasUrna,noElectoresVotaron,rppvotaron,sumaCyD,CNR,VN,sumaTotal
25,34,633,BÁSICA 1,B1,702,30,65,23,23,7,10,50,177,9,7,0,2,0,5,0,2,0,0,0,0,9,390,0,10,390
25,34,633,CONTIGUA 1,C1,702,30,66,15,20,8,5,37,161,12,3,1,0,0,12,0,2,1,374,0,0,0,0,1,13,357
25,34,633,CONTIGUA 2,C2,702,30,57,11,13,6,7,32,174,7,4,1,0,0,3,3,1,2,391,0,0,0,0,0,11,332
25,34,633,CONTIGUA 3,C3,701,30,49,24,24,11,7,36,179,13,4,0,0,0,14,0,2,3,354,0,0,0,0,0,15,381
25,34,634,BÁSICA 1,B1,715,30,46,16,13,8,7,42,199,5,5,3,1,0,9,0,1,0,0,0,0,4,362,0,7,362
25,34,634,CONTIGUA 1,C1,715,30,46,15,8,8,8,32,176,8,0,0,0,0,13,2,2,0,0,0,0,4,319,0,1,319
25,34,634,CONTIGUA 2,C2,714,30,48,22,23,8,6,39,156,17,2,1,0,0,11,2,0,2,0,0,0,5,355,1,17,355
25,34,634,CONTIGUA 3,C3,714,30,43,9,20,7,7,34,159,5,6,2,0,1,7,2,3,1,427,0,0,0,0,0,11,317
25,34,635,BÁSICA 1,B1,516,30,53,9,14,7,6,31,140,4,6,1,0,0,6,0,2,1,261,0,0,0,0,0,0,280
25,34,635,CONTIGUA 1,C1,515,30,42,16,20,7,3,31,148,6,5,1,1,0,13,0,5,0,238,0,0,0,0,0,7,305
25,34,635,CONTIGUA 2,C2,515,30,43,11,16,6,8,22,149,3,4,1,0,0,13,0,2,0,260,0,0,0,0,0,8,286
25,34,636,BÁSICA 1,B1,596,30,63,32,9,11,13,42,146,5,7,0,1,0,9,0,3,1,275,0,0,0,0,0,8,350
25,34,636,CONTIGUA 1,C1,596,30,52,20,13,8,11,53,152,17,5,0,0,0,9,1,1,3,275,0,0,0,0,0,11,356
25,34,637,BÁSICA 1,B1,466,30,67,21,13,8,4,39,118,4,5,1,0,0,2,0,2,2,202,0,0,0,0,0,8,294
25,34,637,CONTIGUA 1,C1,465,30,69,30,11,5,3,34,108,6,4,0,1,0,7,0,3,1,205,0,0,0,0,0,7,289
25,34,638,BÁSICA 1,B1,666,30,63,14,19,10,4,38,170,5,2,0,0,0,12,1,2,2,338,0,0,0,0,0,15,357
25,34,638,CONTIGUA 1,C1,666,30,47,19,20,13,14,34,207,17,4,0,0,0,11,1,0,1,295,0,0,0,0,0,14,402
25,34,638,CONTIGUA 2,C2,666,30,57,13,20,12,7,65,167,14,9,0,1,0,10,1,5,4,298,0,0,0,0,0,13,398
25,34,639,BÁSICA 1,B1,742,30,39,22,24,16,7,34,191,5,3,0,0,0,14,0,8,0,387,0,0,0,0,0,20,383
25,34,639,CONTIGUA 1,C1,741,30,45,13,17,17,8,37,206,5,8,3,0,0,10,1,2,4,379,0,0,0,0,0,16,392
25,34,640,BÁSICA 1,B1,536,30,28,17,13,18,9,38,156,5,5,1,0,0,11,2,3,1,244,0,0,0,0,0,12,319
25,34,640,CONTIGUA 1,C1,535,30,28,15,6,10,5,24,147,5,2,2,0,1,8,0,3,1,299,0,0,0,0,0,9,266
25,34,640,CONTIGUA 2,C2,535,30,26,19,12,11,8,19,151,3,6,1,0,0,7,0,4,0,0,0,0,7,272,0,5,272
25,34,641,BÁSICA 1,B1,575,30,54,16,24,10,1,50,169,8,8,0,0,0,11,0,3,0,0,0,0,8,363,0,9,363
25,34,641,CONTIGUA 1,C1,574,30,57,19,18,10,7,45,187,5,10,0,0,0,6,2,3,1,225,0,0,0,0,0,9,379
25,34,642,BÁSICA 1,B1,466,30,68,25,12,8,7,40,118,3,7,2,0,0,3,2,0,2,192,0,0,0,0,0,0,297
25,34,642,CONTIGUA 1,C1,465,30,44,30,21,5,31,5,119,11,7,0,0,0,2,1,0,0,0,0,0,7,284,0,8,284
25,34,643,BÁSICA 1,B1,507,30,47,26,19,4,0,40,154,2,2,0,1,0,10,0,1,1,220,0,0,0,0,0,7,314
25,34,643,CONTIGUA 1,C1,506,30,56,34,15,4,5,43,126,5,8,0,0,0,4,1,0,3,0,0,0,8,312,0,8,312
25,34,643,ESPECIAL 1,S1,0,30,14,5,5,2,4,7,40,4,1,0,0,0,2,0,1,0,494,0,0,0,0,0,4,89
25,34,644,BÁSICA 1,B1,604,30,30,14,8,9,4,15,201,5,2,2,1,0,9,1,3,2,0,0,0,0,318,0,12,318
25,34,644,CONTIGUA 1,C1,604,30,25,21,9,15,9,19,174,13,4,1,0,0,5,1,1,1,328,0,0,0,0,0,9,307
25,34,645,BÁSICA 1,B1,399,30,19,17,16,6,6,9,117,4,2,0,0,0,2,0,2,0,210,0,0,0,0,0,18,218
25,34,645,CONTIGUA 1,C1,398,30,12,11,12,11,6,12,89,13,0,1,0,0,7,1,2,0,0,0,0,5,192,0,15,192
25,34,645,EXTRAORDINARIA 1,E1,345,30,19,8,8,11,4,12,84,3,3,1,0,0,5,0,0,1,211,0,0,0,0,0,6,165
25,34,646,BÁSICA 1,B1,485,30,8,16,1,6,8,17,172,9,0,0,0,0,0,0,2,0,0,0,0,9,242,0,3,242
25,34,646,CONTIGUA 1,C1,484,30,8,20,6,9,6,20,148,9,2,0,0,0,2,1,1,0,272,0,0,0,0,0,10,242
25,34,647,BÁSICA 1,B1,639,30,29,38,7,20,18,21,181,8,1,0,0,0,9,3,1,2,316,0,0,0,0,0,14,352
25,34,647,CONTIGUA 1,C1,639,30,26,40,5,17,10,30,185,3,3,2,0,0,7,0,4,0,0,0,0,2,343,0,11,343
25,34,647,CONTIGUA 2,C2,639,30,25,36,4,11,7,26,183,8,3,0,0,0,7,0,5,1,341,0,0,0,0,0,13,329
25,34,648,BÁSICA 1,B1,569,30,21,16,4,15,13,14,152,21,5,3,0,0,5,2,3,1,0,0,0,11,287,0,12,287
25,34,649,BÁSICA 1,B1,408,30,17,13,10,10,11,12,131,11,2,2,0,0,8,1,3,2,192,0,0,0,0,0,13,246
25,34,649,CONTIGUA 1,C1,408,30,21,10,4,5,10,20,141,10,2,1,0,0,3,0,0,1,0,0,0,2,243,0,15,243
25,34,650,BÁSICA 1,B1,625,30,32,22,14,34,7,27,236,8,0,3,0,1,5,1,0,0,0,0,0,8,400,0,10,400
25,34,650,EXTRAORDINARIA 1,E1,390,30,30,20,21,16,4,21,89,3,2,0,0,0,8,1,1,0,0,0,0,2,231,0,15,231
25,34,651,BÁSICA 1,B1,530,30,10,7,7,7,4,44,191,8,1,0,0,0,14,1,4,3,234,0,0,0,0,0,26,327
25,34,651,CONTIGUA 1,C1,529,30,20,8,5,7,12,47,183,11,3,1,0,0,13,0,3,3,223,0,0,0,0,0,20,336
25,34,652,BÁSICA 1,B1,503,30,18,6,10,12,7,73,140,2,1,1,0,0,9,2,1,2,0,0,0,1,303,0,19,303
25,34,652,CONTIGUA 1,C1,502,30,7,9,1,19,4,82,153,5,1,1,0,0,4,0,2,0,0,0,0,0,313,0,25,313
25,34,652,CONTIGUA 2,C2,502,30,10,11,7,9,12,63,134,5,1,0,0,0,6,1,2,1,0,0,0,1,283,0,21,283
25,34,653,BÁSICA 1,B1,577,30,16,5,2,18,14,16,255,3,0,0,0,0,8,0,1,3,255,0,0,0,0,0,11,352
25,34,653,EXTRAORDINARIA 1,E1,437,30,15,8,2,15,6,11,168,2,3,0,0,0,10,3,3,1,204,0,0,0,0,0,17,264
25,34,653,EXTRAORDINARIA 1 CONTIGUA 1,E1 C1,436,30,6,3,4,7,6,12,160,1,2,0,0,0,29,1,2,1,0,0,0,1,243,0,9,243
25,34,654,BÁSICA 1,B1,540,30,14,11,5,16,9,25,195,6,0,0,0,0,12,1,1,3,0,0,0,4,314,0,16,314
25,34,654,CONTIGUA 1,C1,539,30,21,6,8,14,9,28,209,3,4,0,0,0,7,3,3,1,0,0,0,9,327,0,11,327
25,34,654,CONTIGUA 2,C2,539,30,20,17,5,15,15,31,182,5,2,1,1,0,7,2,5,4,0,0,0,0,324,0,12,324
25,34,655,BÁSICA 1,B1,563,30,27,24,7,7,9,22,155,7,0,0,0,0,8,1,4,1,0,0,0,0,285,0,13,285
25,34,655,CONTIGUA 1,C1,562,30,15,16,20,7,4,26,160,7,4,2,1,0,12,2,2,3,0,0,0,0,294,0,13,294
25,34,655,CONTIGUA 2,C2,562,30,21,23,5,4,10,15,165,9,8,0,0,0,8,3,3,1,298,0,0,0,0,0,19,294
25,34,4905,BÁSICA 1,B1,637,30,47,19,21,10,5,32,140,9,6,0,0,0,6,0,3,1,0,0,0,5,305,0,6,305
25,34,4905,CONTIGUA 1,C1,637,30,62,17,13,11,7,39,142,12,3,0,1,0,4,1,1,1,0,0,0,7,328,0,14,328
