distrito,municipio,seccion,tipo,codigo,listaNominal,PAN - PRI - PRD,MORENA + ALIADOS,mc,sumaTotal
25,34,633,BÁSICA 1,B1,702,116,227,38,390
25,34,633,CONTIGUA 1,C1,702,96,217,36,355
25,34,633,CONTIGUA 2,C2,702,74,223,31,340
25,34,633,CONTIGUA 3,C3,701,92,219,30,357
25,34,634,BÁSICA 1,B1,715,75,239,35,362
25,34,634,CONTIGUA 1,C1,715,80,215,20,325
25,34,634,CONTIGUA 2,C2,714,94,212,40,355
25,34,634,CONTIGUA 3,C3,714,92,190,31,319
25,34,635,BÁSICA 1,B1,516,81,174,22,283
25,34,635,CONTIGUA 1,C1,515,87,194,18,306
25,34,635,CONTIGUA 2,C2,515,78,182,19,286
25,34,636,BÁSICA 1,B1,596,132,185,25,349
25,34,636,CONTIGUA 1,C1,596,109,198,40,355
25,34,637,BÁSICA 1,B1,466,119,138,29,292
25,34,637,CONTIGUA 1,C1,465,111,144,30,288
25,34,638,BÁSICA 1,B1,666,98,210,30,345
25,34,638,CONTIGUA 1,C1,666,92,248,36,386
25,34,638,CONTIGUA 2,C2,666,94,230,55,393
25,34,639,BÁSICA 1,B1,742,93,233,37,385
25,34,639,CONTIGUA 1,C1,741,87,260,32,391
25,34,640,BÁSICA 1,B1,536,73,202,34,319
25,34,640,CONTIGUA 1,C1,535,53,179,27,266
25,34,640,CONTIGUA 2,C2,535,68,185,16,272
25,34,641,BÁSICA 1,B1,575,121,208,31,363
25,34,641,CONTIGUA 1,C1,574,119,227,28,380
25,34,642,BÁSICA 1,B1,466,117,150,29,303
25,34,642,CONTIGUA 1,C1,465,108,147,24,284
25,34,643,BÁSICA 1,B1,507,114,176,23,317
25,34,643,CONTIGUA 1,C1,506,117,167,25,311
25,34,643,ESPECIAL 1,S1,0,165,318,38,534
25,34,644,BÁSICA 1,B1,604,66,234,10,318
25,34,644,CONTIGUA 1,C1,604,64,224,6,306
25,34,645,BÁSICA 1,B1,399,58,147,0,219
25,34,645,CONTIGUA 1,C1,398,36,136,6,193
25,34,645,EXTRAORDINARIA 1,E1,345,47,110,3,165
25,34,646,BÁSICA 1,B1,485,35,187,16,242
25,34,646,CONTIGUA 1,C1,484,41,177,17,242
25,34,647,BÁSICA 1,B1,639,93,235,13,353
25,34,647,CONTIGUA 1,C1,639,93,220,16,343
25,34,647,CONTIGUA 2,C2,639,83,223,9,321
25,34,648,BÁSICA 1,B1,569,50,219,12,287
25,34,649,BÁSICA 1,B1,408,46,176,14,246
25,34,649,CONTIGUA 1,C1,408,45,170,20,243
25,34,650,BÁSICA 1,B1,625,91,277,23,402
25,34,650,EXTRAORDINARIA 1,E1,390,89,114,16,231
25,34,651,BÁSICA 1,B1,530,28,246,34,327
25,34,651,CONTIGUA 1,C1,529,45,239,33,337
25,34,652,BÁSICA 1,B1,503,47,189,50,303
25,34,652,CONTIGUA 1,C1,502,39,200,57,313
25,34,652,CONTIGUA 2,C2,502,45,174,45,283
25,34,653,BÁSICA 1,B1,577,34,299,14,353
25,34,653,EXTRAORDINARIA 1,E1,437,32,211,10,261
25,34,653,EXTRAORDINARIA 1 CONTIGUA 1,E1 C1,436,26,199,9,243
25,34,654,BÁSICA 1,B1,540,39,238,18,314
25,34,654,CONTIGUA 1,C1,539,40,249,26,327
25,34,654,CONTIGUA 2,C2,539,52,239,24,324
25,34,655,BÁSICA 1,B1,563,61,175,16,260
25,34,655,CONTIGUA 1,C1,562,61,194,24,290
25,34,655,CONTIGUA 2,C2,562,54,210,15,295
25,34,4905,BÁSICA 1,B1,637,79,187,26,305
25,34,4905,CONTIGUA 1,C1,637,93,188,33,326
25,34,4905,CONTIGUA 2,C2,637,85,217,23,335
25,34,4905,CONTIGUA 3,C3,637,86,196,22,315
25,34,4906,BÁSICA 1,B1,742,81,203,30,329
25,34,4906,CONTIGUA 1,C1,742,47,206,29,288
25,34,4906,CONTIGUA 2,C2,742,63,214,25,313
