MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PRI-PAN-PRD,PVEM,PT,MC,MORENA,OTROS,UNIDAD CIUDADANA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
CATEMACO,633,B,1,0,B,120,0,13,18,228,20,49,448,2,11,461,722,Acta de casilla,,,
CATEMACO,633,C,1,0,C01,115,0,15,19,222,20,49,440,0,8,448,722,Acta de consejo,,,
CATEMACO,633,C,2,0,C02,109,1,16,14,228,25,43,436,0,10,446,722,Acta de casilla,,,
CATEMACO,633,C,3,0,C03,129,2,10,20,215,24,31,431,0,8,439,722,Acta de casilla,,,
CATEMACO,634,B,1,0,B,128,2,23,9,194,23,40,419,0,10,429,677,Acta de casilla,,,
CATEMACO,634,C,1,0,C01,115,1,20,11,177,17,39,380,0,4,384,677,Acta de casilla,,,
CATEMACO,634,C,2,0,C02,126,0,27,10,178,28,50,419,0,8,427,677,Acta de casilla,,,
CATEMACO,634,C,3,0,C03,111,1,21,7,194,27,31,392,0,9,401,676,Acta de casilla,,,
CATEMACO,635,B,1,0,B,126,0,16,4,167,13,29,355,0,4,359,522,Acta de casilla,,,
CATEMACO,635,C,1,0,C01,116,1,16,6,174,9,41,363,0,3,366,522,Acta de casilla,,,
CATEMACO,635,C,2,0,C02,120,1,9,4,165,9,43,351,0,5,356,521,Acta de casilla,,,
CATEMACO,636,B,1,0,B,108,1,27,12,198,13,40,399,0,7,406,616,Acta de casilla,,,
CATEMACO,636,C,1,0,C01,111,2,13,10,193,13,63,405,0,5,410,615,Acta de casilla,,,
CATEMACO,637,B,1,0,B,59,0,12,10,164,12,63,320,0,3,323,477,Acta de consejo,,,
CATEMACO,637,C,1,0,C01,65,0,15,4,165,12,61,322,0,5,327,476,Acta de casilla,,,
CATEMACO,638,B,1,0,B,96,1,15,14,230,14,63,433,0,4,437,677,Acta de consejo,,,
CATEMACO,638,C,1,0,C01,125,1,8,18,227,11,55,445,0,9,454,677,Acta de consejo,,,
CATEMACO,638,C,2,0,C02,103,1,14,6,233,18,57,432,0,10,442,677,Acta de casilla,,,
CATEMACO,639,B,1,0,B,128,3,16,10,198,21,45,421,0,7,428,704,Acta de casilla,,,
