distrito,municipio,seccion,tipo,codigo,listaNominal,rppv,boletaSobrante,noElectoresVotaron,rppvotaron,sumaCyD,boetasExtraidasUrna,pan,pri,verde,pt,mc,morena,verde-morena,CNR,VN,sumaTotal
25,34,633,BÁSICA,B1,697,12,302,402,5,0,0,16,0,8,90,203,80,3,0,7,407
25,34,633,CONTIGUA 1,C1,696,12,316,0,0,0,0,20,4,5,66,205,81,1,0,10,392
25,34,633,CONTIGUA 2,C2,696,12,305,398,5,0,0,20,0,12,80,192,88,4,0,7,403
25,34,633,CONTIGUA 3,C3,696,12,295,0,0,0,0,25,1,13,75,201,81,6,1,10,413
25,34,634,BÁSICA,B1,723,12,356,0,0,0,0,20,0,10,72,216,56,3,0,2,379
25,34,634,CONTIGUA 1,C1,723,12,361,369,5,0,0,28,3,16,73,197,51,2,0,4,374
25,34,634,CONTIGUA 2,C2,722,12,318,410,6,0,0,27,2,6,89,222,52,4,0,14,416
25,34,634,CONTIGUA 3,C3,722,12,355,0,0,0,0,30,1,9,75,196,53,5,0,10,379
25,34,635,BÁSICA,B1,515,12,217,305,5,0,0,24,0,7,42,164,65,3,0,5,310
25,34,635,CONTIGUA 1,C1,514,12,222,300,4,0,0,17,1,9,44,157,71,1,0,4,304
25,34,635,CONTIGUA 2,C2,514,12,223,300,300,0,0,24,1,3,44,158,68,1,0,4,303
25,34,636,BÁSICA,B1,586,12,250,0,0,0,0,10,1,13,68,168,79,2,0,7,348
25,34,636,CONTIGUA 1,C1,585,12,244,346,7,0,0,9,1,12,70,184,72,2,0,3,353
25,34,637,BÁSICA,B1,460,12,189,0,0,0,0,27,1,10,48,138,50,5,0,4,283
25,34,637,CONTIGUA 1,C1,460,12,185,283,4,0,0,35,1,8,54,113,59,6,0,11,287
25,34,638,BÁSICA,B1,668,12,305,369,6,0,0,28,0,11,93,161,73,2,0,7,375
25,34,638,CONTIGUA 1,C1,668,12,269,0,0,0,0,16,0,17,130,179,66,1,0,2,411
25,34,638,CONTIGUA 2,C2,667,12,268,0,0,0,0,20,0,11,135,184,48,3,0,10,411
25,34,639,BÁSICA,B1,737,12,366,0,0,0,0,13,1,13,81,197,65,3,0,13,386
25,34,639,CONTIGUA 1,C1,737,12,362,0,0,0,0,21,0,11,78,183,71,7,0,14,385
